name,freelance,createdAt,profileName,totalNumberOfFollowing,totalNumberOfFollowers,vizCount,visibleWorkbookCount,lastPublishDate,organization,title,bio,featuredVizRepoUrl,profileUrl,country,state,city
Juneyoung Jeong,False,2019-01-01,juneyoung,0,0,41,3,2021-04-01,,,,,https://public.tableau.com/app/profile/juneyoung,United States,California,San Francisco
Penelope Ausejo,False,2021-06-01,penelope.ausejo,1,0,2,0,2021-06-12,,,,,https://public.tableau.com/app/profile/penelope.ausejo,United States,California,Pacific Palisades
Kane,False,2019-01-01,kane8481,0,0,12,7,2019-02-04,Fundamentals of Visualization with Tableau,,,,https://public.tableau.com/app/profile/kane8481,United States,California,
Missael Romero,False,2019-01-01,missael.romero,11,0,59,5,2020-10-04,,,,,https://public.tableau.com/app/profile/missael.romero,United States,California,Sacramento
Sandra S Morales,False,2019-01-01,sandra.s.morales,1,0,0,0,,CCSESA,,,,https://public.tableau.com/app/profile/sandra.s.morales,United States,California,
Makayla,False,2019-01-01,makayla3909,0,0,3,3,2019-01-18,,,,,https://public.tableau.com/app/profile/makayla3909,United States,California,Los Angeles
Lu Sun,False,2019-01-01,lu7827,0,0,39,11,2021-11-06,,,,,https://public.tableau.com/app/profile/lu7827,United States,California,San Francisco
Ira Sharenow,False,2018-12-01,ira.sharenow,0,0,52,6,2021-08-31,Sharenow Consultants,,,ElCerritoFinancesinPictures--Tableau,https://public.tableau.com/app/profile/ira.sharenow,United States,California,
Sara Irshad,False,2021-06-01,sara1450,0,0,7,1,2021-06-08,Bradley University,,,,https://public.tableau.com/app/profile/sara1450,United States,California,Sunnyvale
"Chico, CA Police Department",False,2018-12-01,chico.ca.police.department,0,0,121,18,2021-09-08,,,,,https://public.tableau.com/app/profile/chico.ca.police.department,United States,California,
Jaydeep Sodhi,False,2021-06-01,jaydeep.sodhi,0,0,124,5,2021-06-08,,,,CuriousCaseofDogecoin,https://public.tableau.com/app/profile/jaydeep.sodhi,United States,California,San Francisco
Marina L.,False,2018-12-01,marina8823,1,0,31,2,2018-12-19,,,,,https://public.tableau.com/app/profile/marina8823,United States,California,Los Angeles
Steve Hor,False,2018-12-01,stevhor1,1,0,12,1,2019-01-23,,,,,https://public.tableau.com/app/profile/stevhor1,United States,California,San Diego
Jayme Lubben,False,2019-07-01,jayme.lubben,47,67,58,51,2021-11-11,HP,,Tableau Desktop Certified Professional | Print Supplies Insights & Forecasting at HP ,NaturalDisasters_16209289630560,https://public.tableau.com/app/profile/jayme.lubben,United States,California,San Diego
Pushkar Hegde,False,2018-12-01,pushkar,0,0,4,2,2019-01-17,,,,,https://public.tableau.com/app/profile/pushkar,United States,California,San Francisco
Rob M,False,2018-12-01,stellarrobert,0,0,49,2,2019-11-05,,,,CaltrainWeekdaySchedule,https://public.tableau.com/app/profile/stellarrobert,United States,California,San Francisco
Rosalia Ramirez,False,2021-06-01,rosalia.ramirez,0,0,0,0,,IHSS,,,,https://public.tableau.com/app/profile/rosalia.ramirez,United States,California,Modesto
Sophia Huang,False,2018-12-01,sophia.huang,0,0,23,4,2019-12-09,,,,,https://public.tableau.com/app/profile/sophia.huang,United States,California,Berkeley
PraveenBabu Ravichandran,False,2018-12-01,praveenbabu.ravichandran,0,0,25,10,2019-01-09,,,,,https://public.tableau.com/app/profile/praveenbabu.ravichandran,United States,California,Sunnyvale
Wendy,False,2018-11-01,wendy2460,0,0,33,2,2018-11-28,,,Chemist with Computer addiction,RadNetReviewv2,https://public.tableau.com/app/profile/wendy2460,United States,California,
Julian Chavez,False,2018-11-01,julian.chavez,0,0,10,2,2018-12-17,Biola University,,,,https://public.tableau.com/app/profile/julian.chavez,United States,California,
Naomi Jow,False,2018-11-01,naomi.jow,0,0,4,1,2018-11-19,Biola University,,,,https://public.tableau.com/app/profile/naomi.jow,United States,California,
Brenda Wu,False,2018-11-01,brenda3180,0,0,13,1,2019-08-25,,,,SFAirbnb_15667170050210,https://public.tableau.com/app/profile/brenda3180,United States,California,San Francisco
Ashish Ranshinge,False,2018-11-01,ashishranshinge,0,0,10,2,2018-12-15,,,,,https://public.tableau.com/app/profile/ashishranshinge,United States,California,San Francisco
Zhenyu,False,2018-11-01,zhenyu5045,0,0,23,4,2020-02-03,,,,,https://public.tableau.com/app/profile/zhenyu5045,United States,California,San Francisco
Pepijn van Houwelingen,False,2018-11-01,pepijn.van.houwelingen,0,0,199,1,2021-10-29,Kidango,,,,https://public.tableau.com/app/profile/pepijn.van.houwelingen,United States,California,
Guillermo Alcantar,False,2018-11-01,guillermo.alcantar,0,0,15,3,2020-04-12,Biola University,,,,https://public.tableau.com/app/profile/guillermo.alcantar,United States,California,
"Alan Cromlish, Ed.D., CWP",False,2018-11-01,alan7960,0,0,18,0,2020-09-18,University of Southern California,,,,https://public.tableau.com/app/profile/alan7960,Singapore,Central Singapore,
Rick Steele,False,2018-11-01,rick.steele,0,0,11,4,2018-11-10,,,,,https://public.tableau.com/app/profile/rick.steele,United States,California,Fairfield
Sergey Gorbatov,False,2018-10-01,sgorbatov,0,0,3,2,2019-07-24,,,,SergeyGorbatovResume,https://public.tableau.com/app/profile/sgorbatov,United States,California,Santa Cruz
Maximilien Sock,False,2021-05-01,maximilien.sock,1,0,4,1,2021-06-03,,,,,https://public.tableau.com/app/profile/maximilien.sock,United States,California,Los Angeles
Rob Chandler,False,2018-10-01,rob.chandler,0,0,30,4,2021-10-29,,Workforce Planning Analyst,,ExecutiveOverview_16353731562510,https://public.tableau.com/app/profile/rob.chandler,United States,California,Lincoln
Aruna Gossai,False,2018-10-01,arunag,0,0,13,2,2018-12-13,University of San Diego,,,FinalProject-MarijuanaUsage,https://public.tableau.com/app/profile/arunag,United States,California,
Ryan Bacaoco,False,2018-10-01,rbacaoco,0,0,29,8,2021-06-17,,,,,https://public.tableau.com/app/profile/rbacaoco,United States,California,SAN DIEGO
Murugesan Rajasekaran,False,2018-10-01,murugesan.rajasekaran,0,0,1,1,2018-10-14,,,,,https://public.tableau.com/app/profile/murugesan.rajasekaran,United States,California,Milpitas
Hugues de Saint Salvy,False,2018-10-01,hugues.de.saint.salvy,0,0,1,0,2018-10-14,,,,,https://public.tableau.com/app/profile/hugues.de.saint.salvy,United States,California,
WEI LING KO,False,2018-10-01,wei.ling.kogmail.com,0,0,22,14,2018-12-14,,,,,https://public.tableau.com/app/profile/wei.ling.kogmail.com,United States,California,
Felipe de Souza,False,2018-10-01,dunnhumbyriteaid,0,0,8,0,2021-06-23,Dunnhumby,,,,https://public.tableau.com/app/profile/dunnhumbyriteaid,United States,California,Sacramento
Robin Souza,False,2019-01-01,robin.souza,4,1,0,0,,Merced County,,,,https://public.tableau.com/app/profile/robin.souza,United States,California,Merced
Tao Tang,False,2021-05-01,tao.tang6243,0,0,6,1,2021-05-25,,,,,https://public.tableau.com/app/profile/tao.tang6243,United States,California,San Jose
Jemin Gohil,False,2017-08-01,jemin.gohil,5,2,15,9,2019-11-25,,,Tableau Certified Associate & Desktop Specialist.,CV_15664206502240,https://public.tableau.com/app/profile/jemin.gohil,United States,California,
Elisabeth ,False,2018-09-01,elisabeth2559,0,0,3,1,2018-09-17,,,,,https://public.tableau.com/app/profile/elisabeth2559,United States,California,Los Angeles
Jonathan Taylor,False,2021-05-01,jonathan.taylor1951,0,0,9,1,2021-05-21,PacketChat,,,,https://public.tableau.com/app/profile/jonathan.taylor1951,United States,California,Rocklin
ThuDo (Sofia),False,2021-04-01,thudo3801,2,2,57,10,2021-04-26,Hult International Business School,,,,https://public.tableau.com/app/profile/thudo3801,United States,California,San Francisco
Zane Mitchell,False,2018-09-01,zane.mitchell,0,0,12,5,2019-10-27,,,,NFLPaceofPlay,https://public.tableau.com/app/profile/zane.mitchell,United States,California,Irvine
Tzu-Yi Huang,False,2019-01-01,tzu.yi.huang,0,1,64,13,2020-09-30,,,,,https://public.tableau.com/app/profile/tzu.yi.huang,United States,California,Los Angeles
araceli palafox,False,2018-08-01,araceli.palafox,0,0,130,42,2020-04-26,Lift To Rise,,,,https://public.tableau.com/app/profile/araceli.palafox,United States,California,
Greylock CXO,False,2018-08-01,cxo.greylock,0,0,5,0,2019-04-17,Greylock Partners,,,,https://public.tableau.com/app/profile/cxo.greylock,United States,California,
Sarah Griffis,False,2018-08-01,sarah.griffis7901,0,0,36,8,2018-08-29,,,,,https://public.tableau.com/app/profile/sarah.griffis7901,United States,California,Napa
STEPHEN  ALIWA,False,2018-08-01,stephen.aliwa,0,0,10,1,2018-08-26,Creighton University,,,,https://public.tableau.com/app/profile/stephen.aliwa,United States,California,
Jane Ma,False,2018-08-01,wenjie.ma,0,0,35,5,2019-09-05,,,,,https://public.tableau.com/app/profile/wenjie.ma,United States,California,Sunnyvale
Mounica Madireddy,False,2018-08-01,mounicamadireddy,0,0,4,1,2018-08-23,,,,,https://public.tableau.com/app/profile/mounicamadireddy,United States,California,San Diego
Richard Hsu,False,2018-08-01,rchsu,0,0,0,0,,,,,,https://public.tableau.com/app/profile/rchsu,United States,California,San Francisco
Heather Elias,False,2021-05-01,heather.n.elias,2,0,28,5,2021-05-17,,,,CaliforniaPostsecondaryDataExplorer_16212770251750,https://public.tableau.com/app/profile/heather.n.elias,United States,California,Fresno
UCSF Psychiatry Bioinformatics Core,False,2017-03-01,ucsf.psychiatry.bioinformatics.core,0,2,6,2,2017-08-16,,,,,https://public.tableau.com/app/profile/ucsf.psychiatry.bioinformatics.core,United States,California,San Francisco
Ron Bidgood,False,2018-08-01,ron.bidgood,2,0,0,0,,,,,,https://public.tableau.com/app/profile/ron.bidgood,United States,California,Folsom
Monireangsey Taing,False,2018-07-01,monireangsey.taing,0,0,1,1,2018-07-24,,,,,https://public.tableau.com/app/profile/monireangsey.taing,United States,California,rosemead
Dave West,False,2018-07-01,dave.west2048,1,0,0,0,,,,,,https://public.tableau.com/app/profile/dave.west2048,United States,California,Sacramento
Alex Luo,False,2018-07-01,alex.luo,0,0,3,2,2018-08-22,,,,,https://public.tableau.com/app/profile/alex.luo,United States,California,Berkeley
Cecelie Krier,False,2021-05-01,cecelie.krier,0,0,28,0,2021-10-25,,,,,https://public.tableau.com/app/profile/cecelie.krier,United States,California,San Jose
Uday Tak,False,2018-07-01,uday.tak,0,0,44,38,2018-07-14,,,,,https://public.tableau.com/app/profile/uday.tak,United States,California,Goleta
Justine Cutchon,False,2018-07-01,justine.cutchon,0,0,66,13,2018-07-09,,,,,https://public.tableau.com/app/profile/justine.cutchon,United States,California,Fremont
Saurav Jayan,False,2021-05-01,saurav.jayan,0,0,5,1,2021-05-11,,,,,https://public.tableau.com/app/profile/saurav.jayan,United States,California,San Diego
Clifford,False,2018-07-01,clifford4973,0,0,25,2,2018-11-02,,,,,https://public.tableau.com/app/profile/clifford4973,United States,California,Los Angeles
Chandini Balakrishna,False,2018-06-01,chandini.balakrishna,0,0,1,1,2018-06-25,,,,,https://public.tableau.com/app/profile/chandini.balakrishna,United States,California,Fremont
Alissa McBain,False,2018-06-01,alissa.mcbain,0,0,34,3,2018-07-13,,,,ProsperDatav3final,https://public.tableau.com/app/profile/alissa.mcbain,United States,California,Sacramento
Kanghee (Ted) Han,False,2018-06-01,khhan1002,0,0,8,1,2019-08-25,,,,,https://public.tableau.com/app/profile/khhan1002,United States,California,San Diego
Rocio Mora,False,2018-06-01,rocio.mora,0,0,1,1,2018-06-21,,,,,https://public.tableau.com/app/profile/rocio.mora,United States,California,Oxnard
KB,False,2018-06-01,kb2215,0,0,149,21,2018-06-10,,,,ABTesting_Oxy,https://public.tableau.com/app/profile/kb2215,United States,California,Los Angeles
kensf_ucsf,False,2018-05-01,kensf.ucsf,0,0,2,1,2018-05-31,UCSF Health,,,,https://public.tableau.com/app/profile/kensf.ucsf,United States,California,
Eva Weinstein,False,2018-10-01,eva.weinstein,0,1,105,6,2019-02-05,Napa County Public Health,,,,https://public.tableau.com/app/profile/eva.weinstein,United States,California,
Kenny FBCCS,False,2016-07-01,kenny.fbccs,2,2,0,0,,Food Bank of Contra Costa & Solano,,,,https://public.tableau.com/app/profile/kenny.fbccs,United States,California,
Gary Hughes,False,2021-05-01,gary.hughes4605,0,0,110,3,2021-10-22,,,,,https://public.tableau.com/app/profile/gary.hughes4605,United States,California,San Francisco
Arturo di Nallo,False,2021-05-01,arturo.di.nallo,1,0,4,0,2021-05-05,,,Data Enthusiast. ,,https://public.tableau.com/app/profile/arturo.di.nallo,United States,California,
srini vijji,False,2018-05-01,svijji,3,0,22,13,2019-11-08,,,,Sankey_Workout,https://public.tableau.com/app/profile/svijji,United States,California,San jose
Research & Reporting Branch,False,2017-07-01,paolo7062,0,5,128,18,2021-06-04,Los Angeles Unified School District,,,SES-StudentSubgroupDashboard-20182019,https://public.tableau.com/app/profile/paolo7062,United States,California,Los Angeles
Munch,False,2018-05-01,bryan6373,0,0,25,3,2018-06-10,twitch.tv/themunchdown,,,,https://public.tableau.com/app/profile/bryan6373,United States,California,
Marcia Jay,False,2018-05-01,marcia.jay,7,0,0,0,,,,,,https://public.tableau.com/app/profile/marcia.jay,United States,California,Anderson
Angelica Kechukyan,False,2018-05-01,angelica4552,1,0,94,5,2020-09-22,,,,,https://public.tableau.com/app/profile/angelica4552,United States,California,Los Angeles
Christine Bui,False,2018-05-01,christine.bui,1,0,0,0,,,,,,https://public.tableau.com/app/profile/christine.bui,United States,California,Milpitas
Alex Malm,False,2018-04-01,alex.malm,1,0,42,13,2018-07-31,UC Davis,,,,https://public.tableau.com/app/profile/alex.malm,United States,California,
Grey Gardner,False,2018-04-01,grey.gardner,1,0,0,0,,,,,,https://public.tableau.com/app/profile/grey.gardner,United States,California,Oakland
Avinash Shankar,False,2021-05-01,avinash.shankar,13,0,25,1,2021-05-02,DemandBlue,,,,https://public.tableau.com/app/profile/avinash.shankar,United States,California,Irvine
Antonio Gonzalez,False,2018-04-01,antonio.gonzalez3891,0,0,30,3,2018-08-03,,,,,https://public.tableau.com/app/profile/antonio.gonzalez3891,United States,California,Valencia
Jordano Tonial,False,2015-12-01,jordano.tonial,3,2,33,3,2018-10-18,Machine zone,,,,https://public.tableau.com/app/profile/jordano.tonial,United States,California,San Francisco
Sravanthi Kuchibhotla,False,2018-04-01,sravanthi.kuchibhotla,0,0,2,2,2020-06-12,,,,,https://public.tableau.com/app/profile/sravanthi.kuchibhotla,United States,California,Fremont
Raghunath Reddy,False,2018-04-01,raghunath93,2,0,23,10,2018-06-01,,,,,https://public.tableau.com/app/profile/raghunath93,United States,California,Santa Clara
Anh-My,False,2018-04-01,anh.my,0,0,22,2,2018-06-20,,,,,https://public.tableau.com/app/profile/anh.my,United States,California,Dublin
David Jansen,False,2015-10-01,davidejansen,0,2,33,3,2017-01-23,Fresno Unified School District,,,,https://public.tableau.com/app/profile/davidejansen,United States,California,Fresno
EUSD,False,2015-09-01,eusd,0,2,134,14,2017-06-08,Escondido Union School District,,,,https://public.tableau.com/app/profile/eusd,United States,California,Escondido
Ian,False,2018-03-01,ianflemingquakes,0,0,52,0,2019-03-18,San Jose Earthquakes,,,,https://public.tableau.com/app/profile/ianflemingquakes,United States,California,
Dr. Sarah Harris,False,2018-03-01,sarah.harris5400,0,0,2,2,2018-03-19,College of the Sequoias,,,,https://public.tableau.com/app/profile/sarah.harris5400,United States,California,
Arjoo Gangwal,False,2018-12-01,arjoo.gangwal,10,3,88,8,2020-05-08,,,Dashboarding since forever...,GroupProjectv4,https://public.tableau.com/app/profile/arjoo.gangwal,United States,California,San Francisco
The Asia Foundation,False,2015-04-01,paul.schlarman,0,2,24830,850,2021-07-09,The Asia Foundation,,,,https://public.tableau.com/app/profile/paul.schlarman,United States,California,San Francisco
Niya,False,2018-03-01,niya3804,0,0,5,1,2018-03-14,University of San Diego,,,FinalDataViz_0,https://public.tableau.com/app/profile/niya3804,United States,California,
Jaykumar Malaviya,False,2018-03-01,jaymalaivya,0,0,21,8,2018-03-15,,,,,https://public.tableau.com/app/profile/jaymalaivya,United States,California,San Jose
Matthew Hoffman,False,2021-04-01,matthew.hoffman2997,0,0,5,1,2021-04-27,,,,,https://public.tableau.com/app/profile/matthew.hoffman2997,United States,California,Santa Clara
Qaseem Elmi,False,2018-07-01,qaseem.elmi,9,1,0,0,,Alameda County,,,,https://public.tableau.com/app/profile/qaseem.elmi,United States,California,Oakland
Vasudha Ponnaganti,False,2018-02-01,vasudha2650,0,0,28,7,2019-06-03,,,,VasudhaPonnagantiSampleSalesDasboard,https://public.tableau.com/app/profile/vasudha2650,United States,California,Santa Clara
Jui Shaligram,False,2018-02-01,jui.shaligram1878,0,0,52,2,2018-03-27,,,,,https://public.tableau.com/app/profile/jui.shaligram1878,United States,California,Sunnyvale
Hana Levay,False,2018-02-01,hana.levay,0,0,78,22,2019-06-24,University of Washington,,,,https://public.tableau.com/app/profile/hana.levay,United States,California,
Arth Patel,False,2018-02-01,arth.patel,0,0,37,13,2019-06-29,,,,,https://public.tableau.com/app/profile/arth.patel,United States,California,Fullerton
Adam Tornquist,False,2018-07-01,adam.tornquist,1,1,0,0,,Accurate Background,,,,https://public.tableau.com/app/profile/adam.tornquist,United States,California,Irvine
Nazanin Moghadam,False,2018-01-01,nazanin.moghadam,0,0,27,0,2018-06-01,,,,,https://public.tableau.com/app/profile/nazanin.moghadam,United States,California,Emeryville
Climb Agent Dashboard,False,2018-01-01,climb.agent.dashboard,0,0,174,0,2018-08-22,,,,,https://public.tableau.com/app/profile/climb.agent.dashboard,United States,California,
Jeffrey Westling,False,2018-01-01,jeffrey.westling,0,0,1,1,2018-01-26,,,,,https://public.tableau.com/app/profile/jeffrey.westling,United States,California,Oakland
Sayan,False,2018-01-01,sayan4394,0,0,28,0,2018-02-18,,,,,https://public.tableau.com/app/profile/sayan4394,United States,California,San Jose
Robert Thomas,False,2018-01-01,robert.thomas6213,1,0,0,0,,,,,,https://public.tableau.com/app/profile/robert.thomas6213,United States,California,Corona
Indira Manikonda,False,2018-01-01,indira.manikonda,1,0,47,12,2020-08-13,,,,,https://public.tableau.com/app/profile/indira.manikonda,United States,California,Milpitas
EM,False,2018-01-01,erfan.mostafid,0,0,170,1,2021-11-05,,,,,https://public.tableau.com/app/profile/erfan.mostafid,United States,California,Emeryville
Kuldeep Jariwala,False,2018-01-01,kuldeep1298,0,0,25,6,2018-11-11,,,,,https://public.tableau.com/app/profile/kuldeep1298,United States,California,San Diego
fang chen,False,2018-01-01,fang.chen,3,0,15,2,2020-05-18,,,,,https://public.tableau.com/app/profile/fang.chen,United States,California,Newark
JOHNNY CHAN,False,2018-01-01,johnny.chan8547,0,0,2,2,2018-01-04,,,,,https://public.tableau.com/app/profile/johnny.chan8547,United States,California,Irvine
Voxx Analytics,False,2018-01-01,kazumi.nozawa8814,0,0,15,4,2021-08-30,Voxx Analytics,,,,https://public.tableau.com/app/profile/kazumi.nozawa8814,United States,California,
Grossmont-Cuyamaca Community College District,False,2016-09-01,gcccd,2,5,69,19,2021-07-15,Grossmont-Cuyamaca Community College District,,,,https://public.tableau.com/app/profile/gcccd,United States,California,El Cajon
David Nguyen,False,2017-12-01,david.n6238,0,0,34,10,2021-03-04,,,,,https://public.tableau.com/app/profile/david.n6238,United States,California,Anaheim
Institutional Research and Planning,False,2017-12-01,irpusd,0,0,166,0,2021-11-11,University of San Diego,,,,https://public.tableau.com/app/profile/irpusd,United States,California,
Georgia Mora,False,2021-04-01,georgia.mora6937,0,0,6,1,2021-04-19,Sonoma State University,,,TemperaturevEnergy,https://public.tableau.com/app/profile/georgia.mora6937,United States,California,
Kelly Downes,False,2017-12-01,kellydownes,0,0,20,2,2018-01-29,,,,,https://public.tableau.com/app/profile/kellydownes,United States,California,Los Angeles
Henry Tirado,False,2021-04-01,henry.o.tirado,0,0,58,5,2021-11-10,,,,,https://public.tableau.com/app/profile/henry.o.tirado,United States,California,Burbank
Madhulika,False,2017-11-01,madhulika2052,4,0,33,17,2019-02-27,,,,,https://public.tableau.com/app/profile/madhulika2052,United States,California,San Diego
m villagomez,False,2017-11-01,m.villagomez,0,0,4,2,2017-11-27,,,,,https://public.tableau.com/app/profile/m.villagomez,United States,California,Paramount
Madhumitha Rajavel,False,2017-11-01,madhumitha.rajavel,0,0,22,4,2018-08-20,,,,,https://public.tableau.com/app/profile/madhumitha.rajavel,United States,California,Sunnyvale
Alicia Vazquez,False,2017-11-01,alicia.vazquez,0,0,66,2,2021-01-07,,,,PHMSADatapractice,https://public.tableau.com/app/profile/alicia.vazquez,United States,California,Fullerton
James M. Carter,False,2017-11-01,jmc39,4,0,31,1,2019-11-13,,,,,https://public.tableau.com/app/profile/jmc39,United States,California,San Diego
Kelly Downes,False,2017-12-01,kellydownes,0,0,20,2,2018-01-29,,,,,https://public.tableau.com/app/profile/kellydownes,United States,California,Los Angeles
Madhulika,False,2017-11-01,madhulika2052,4,0,33,17,2019-02-27,,,,,https://public.tableau.com/app/profile/madhulika2052,United States,California,San Diego
m villagomez,False,2017-11-01,m.villagomez,0,0,4,2,2017-11-27,,,,,https://public.tableau.com/app/profile/m.villagomez,United States,California,Paramount
Madhumitha Rajavel,False,2017-11-01,madhumitha.rajavel,0,0,22,4,2018-08-20,,,,,https://public.tableau.com/app/profile/madhumitha.rajavel,United States,California,Sunnyvale
Alicia Vazquez,False,2017-11-01,alicia.vazquez,0,0,66,2,2021-01-07,,,,PHMSADatapractice,https://public.tableau.com/app/profile/alicia.vazquez,United States,California,Fullerton
James M. Carter,False,2017-11-01,jmc39,4,0,31,1,2019-11-13,,,,,https://public.tableau.com/app/profile/jmc39,United States,California,San Diego
Ohyoung Kim,False,2021-04-01,ohyoung.kim,0,0,33,5,2021-04-28,,,,,https://public.tableau.com/app/profile/ohyoung.kim,United States,California,San Francisco
Jevan Yu,False,2017-11-01,jevan.yu,0,0,17,0,2018-11-09,The Paly Voice,,,,https://public.tableau.com/app/profile/jevan.yu,United States,California,
Barbara Cohen,False,2017-11-01,2barbaracohen,0,0,52,12,2021-07-03,,,Learning as I go :),,https://public.tableau.com/app/profile/2barbaracohen,United States,California,
Renee Macasaet,False,2021-04-01,renee.macasaet,0,0,67,17,2021-04-27,,,,updatedgroup_project4,https://public.tableau.com/app/profile/renee.macasaet,United States,California,San Francisco
Pallavi Saitu,False,2017-11-01,pallavi3100,0,0,1,1,2017-11-16,,,,,https://public.tableau.com/app/profile/pallavi3100,United States,California,San Francisco
Bernard B.,False,2017-11-01,bernsbats,0,0,17,6,2019-01-30,,,,,https://public.tableau.com/app/profile/bernsbats,United States,California,Los Angeles
Emmanuel Guerrier,False,2017-11-01,emmanuel.guerrier,0,0,79,16,2017-12-14,Ohlone College,,,,https://public.tableau.com/app/profile/emmanuel.guerrier,United States,California,
Kailin Li,False,2017-11-01,kailin.li,0,0,213,9,2018-10-19,UC Berkeley,,,,https://public.tableau.com/app/profile/kailin.li,United States,California,
Drushti,False,2017-11-01,drushti3868,0,0,29,2,2017-12-18,,,,,https://public.tableau.com/app/profile/drushti3868,United States,California,Santa Clara
Richard Sanchez,False,2017-10-01,richardsanchez1978,2,0,36,10,2020-09-02,,,,31InterviewQsV2,https://public.tableau.com/app/profile/richardsanchez1978,United States,California,Santa Rosa
Maddy Wojdak,False,2017-10-01,maddy.wojdak,0,0,7,1,2017-10-28,UCLA Anderson,,,,https://public.tableau.com/app/profile/maddy.wojdak,United States,California,
Skyler Slow,False,2021-04-01,skyler.slow,1,0,0,0,,,,,,https://public.tableau.com/app/profile/skyler.slow,United States,California,Paso Robles
Jason Eisman,False,2017-10-01,jason.eisman,1,0,3,1,2017-10-27,Charles Schwab,,,,https://public.tableau.com/app/profile/jason.eisman,United States,California,
Emily Wagner-Davis,False,2017-10-01,emily.wagner.davis,0,0,32,6,2017-12-06,PSU,,,,https://public.tableau.com/app/profile/emily.wagner.davis,United States,California,
Anupam,False,2017-10-01,anupam1701,3,0,65,7,2017-12-15,,,Data Scientist in the making.,,https://public.tableau.com/app/profile/anupam1701,United States,California,
Abdullah Ejaz,False,2017-10-01,abdullah.ejaz,1,0,0,0,,"xiQ, Inc.",,,,https://public.tableau.com/app/profile/abdullah.ejaz,United States,,California
Sameeta Narkar,False,2017-10-01,sameeta.narkar,0,0,91,7,2020-09-09,,,,,https://public.tableau.com/app/profile/sameeta.narkar,United States,California,Sunnyvale
Banthay Komphasouk,False,2017-10-01,banthay.komphasouk,2,0,40,8,2017-12-21,,,,,https://public.tableau.com/app/profile/banthay.komphasouk,United States,California,Anaheim
Kimberly Vallejo,False,2017-10-01,kimberly.vallejo,0,0,25,7,2020-02-28,,,,SalesOverview_15823163031230,https://public.tableau.com/app/profile/kimberly.vallejo,United States,California,Adelanto
Cary Knoop,False,2017-10-01,cary.knoop,0,0,4,4,2018-05-02,,,,,https://public.tableau.com/app/profile/cary.knoop,United States,California,Newark
Virginia Dam Yokoyama,False,2017-10-01,virginia.dam,0,0,15,9,2018-02-11,,,,,https://public.tableau.com/app/profile/virginia.dam,United States,California,Belmont
Patrick F. O'Neill,False,2017-10-01,patrick.f.o.neill,0,0,11,6,2018-07-17,,,,,https://public.tableau.com/app/profile/patrick.f.o.neill,United States,California,
Potrero Medical,False,2017-10-01,amy.que,0,0,4,0,2017-11-16,Potrero Medical,,,,https://public.tableau.com/app/profile/amy.que,United States,California,
Lakshmi Chennupati,False,2017-10-01,lakshmi.chennupati,0,0,2,0,2017-10-04,National university,,,,https://public.tableau.com/app/profile/lakshmi.chennupati,United States,California,
Sandeep Khandelwal,False,2017-09-01,sandeep.khandelwal,1,0,16,5,2018-12-08,,,,Tweet_Viz,https://public.tableau.com/app/profile/sandeep.khandelwal,United States,California,Fremont
The Mercury News,False,2020-03-01,alejandra.armstrong2949,0,4,23,13,2021-06-23,Bay Area News Group,,,,https://public.tableau.com/app/profile/alejandra.armstrong2949,United States,California,San Jose
Claire Kim Muw,False,2018-01-01,claire.muwanguzi.kimbugwe,8,1,24,6,2018-05-11,,,,,https://public.tableau.com/app/profile/claire.muwanguzi.kimbugwe,United States,California,San Francisco
Rohit K,False,2017-09-01,rohit6890,0,0,20,4,2020-07-20,,,,mom2019w25BerlinAirbnbtoplistings,https://public.tableau.com/app/profile/rohit6890,United States,California,San Francisco
Kavitha Bhatia,False,2017-09-01,kavitha.rajan,0,0,156,16,2021-03-03,,,,,https://public.tableau.com/app/profile/kavitha.rajan,United States,California,Dublin
Lauren Wong,False,2017-09-01,lauren.wong1050,0,0,13,6,2017-12-06,,,,,https://public.tableau.com/app/profile/lauren.wong1050,United States,California,Oakland
Matthias,False,2017-09-01,matthias4799,0,0,5,4,2017-11-05,,,,,https://public.tableau.com/app/profile/matthias4799,United States,California,Bay Area
Amber Martin,False,2021-04-01,amber.martin3995,1,0,0,0,,,,,,https://public.tableau.com/app/profile/amber.martin3995,United States,California,Los Angeles
GARGI KACHHAWA,False,2017-08-01,gargi.kachhawa,0,0,28,6,2017-11-06,,,,,https://public.tableau.com/app/profile/gargi.kachhawa,United States,California,TORRANCE
Melissa,False,2017-08-01,melissa8775,0,0,1,1,2017-10-02,California Association of School Business Officials,,,,https://public.tableau.com/app/profile/melissa8775,United States,,
Michael Machado,False,2017-08-01,michael.mahado,0,0,2,1,2018-06-17,,,,,https://public.tableau.com/app/profile/michael.mahado,United States,California,Redlands
Gigi,False,2017-08-01,gigi5414,0,0,30,6,2019-03-07,,,,,https://public.tableau.com/app/profile/gigi5414,United States,California,Los Angeles
Sanika Satish Kulkarni,False,2017-12-01,sanika7864,0,1,24,4,2018-10-12,university of texas at dallas,,,,https://public.tableau.com/app/profile/sanika7864,United States,California,Cupertino
Will C,False,2017-08-01,chao6211,1,0,1887,0,2020-07-26,,,,,https://public.tableau.com/app/profile/chao6211,United States,California,Los Angeles
